OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
6944,3605    0003,195,Vacant-Commercial Use,88851,RHODE ISLAND AVE NE WASHINGTON DC 20018,REAL ESTATE & IMPROVEMENT COMPANY OF BALTIMORE,533110,0,533110,533110,0,533110,533110,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,533110,533110,,,1/27/2023 8:03:12 AM,533110
6945,6004    0003,092,Vacant-With Permit,3283,3339 MARTIN LUTHER KING JR AVE SE WASHINGTON DC 20,SIM DEVELOPMENT LLC,133980,0,133980,143200,0,143200,137430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,108333,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,137430,143200,,,1/27/2023 8:03:12 AM,137430
6946,1490    0800,091,Vacant-True,4452,48TH ST NW WASHINGTON DC 20016,DISTRICT OF COLUMBIA,182670,0,182670,182670,0,182670,182670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,182670,182670,,308309,1/27/2023 8:03:12 AM,182670
6947,5898    0809,093,Vacant-Zoning Limits,4064,21ST ST SE WASHINGTON DC 20020,OXON CREEK HOMEOWNERS ASSOCIATION INC,10,0,10,10,0,10,10,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/27/2002 12:00:00 AM,12/27/2002 12:00:00 AM,10,10,,,1/27/2023 8:03:12 AM,10
6948,5093    0069,091,Vacant-True,2400,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,39190,0,39190,39190,0,39190,39190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,39190,39190,,,1/27/2023 8:03:12 AM,39190
6949,6249    0827,091,Vacant-True,1507,SOUTHERN AVE SE WASHINGTON DC 20032,JOHENNING BAPTIST CHURCH,5580,0,5580,5580,0,5580,5580,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/15/1998 12:00:00 AM,12/15/1998 12:00:00 AM,5580,5580,,,1/27/2023 8:03:12 AM,5580
6950,PAR 01330111,191,Vacant-True,7337,920 BUNKER HILL RD NE WASHINGTON DC 20017,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),426130,0,426130,426130,0,426130,426130,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,426130,426130,,,1/27/2023 8:03:12 AM,426130
6951,PAR 01600042,191,Vacant-True,530822,NE WASHINGTON DC 00000,DISTRICT OF COLUMBIA,17341950,0,17341950,17341950,0,17341950,17341950,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,17341950,17341950,,295161,1/27/2023 8:03:12 AM,17341950
6952,5867    0173,091,Vacant-True,2304,2810 WADE RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA,106150,0,106150,106150,0,106150,106150,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/24/2003 12:00:00 AM,12/24/2003 12:00:00 AM,106150,106150,,,1/27/2023 8:03:12 AM,106150
6953,PAR 01140059,191,Vacant-True,61500,NORTH DAKOTA AVE NW WASHINGTON DC 20011,UNITED STATES OF AMERICA,648210,0,648210,648210,0,648210,648210,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,648210,648210,,,1/27/2023 8:03:12 AM,648210
6954,5860    1058,092,Vacant-With Permit,836,2449 SHANNON PL SE WASHINGTON DC 20020-5819,HOWARD ROAD COMMUNITY PARTNERS LLC,0,0,0,58100,0,58100,0,0,YES,,NO HOMESTEAD,Mixed Use,0,,0,0,,,0,58100,,337221,1/27/2023 8:03:12 AM,0
6955,0667ES  0803,195,Vacant-Commercial Use,4264,V ST SW WASHINGTON DC 20024,UNITED STATES OF AMERICA,1547830,0,1547830,1547830,0,1547830,1547830,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,9/14/2006 12:00:00 AM,9/14/2006 12:00:00 AM,1547830,1547830,,,1/27/2023 8:03:12 AM,1547830
6956,1939W   0800,191,Vacant-True,12745,MASSACHUSETTS AVE NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,771070,0,771070,771070,0,771070,771070,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,771070,771070,,,1/27/2023 8:03:12 AM,771070
6957,5754    0802,091,Vacant-True,761,GREEN ST SE WASHINGTON DC 20020,"HENDERSON, THOMAS M",45660,0,45660,45660,0,45660,45660,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,45660,45660,,,1/27/2023 8:03:12 AM,45660
6958,0620    0904,092,Vacant-With Permit,6242,L ST NW WASHINGTON DC 20001,TBSC OWNER I LLC,1321740,0,1321740,1321740,0,1321740,1321740,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,1/13/2021 12:00:00 AM,1/13/2021 12:00:00 AM,1321740,1321740,,,1/27/2023 8:03:12 AM,1321740
6959,5898    0805,093,Vacant-Zoning Limits,3962,21ST ST SE WASHINGTON DC 20020,OXON CREEK HOMEOWNERS ASSOCIATION INC,10,0,10,10,0,10,10,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/27/2002 12:00:00 AM,12/27/2002 12:00:00 AM,10,10,,,1/27/2023 8:03:12 AM,10
6960,PAR 02520062,191,Vacant-True,352335,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,1828620,0,1828620,1828620,0,1828620,1828620,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1828620,1828620,,"304937,304952,304967,304985,305006,305094,305109,305124,305133,305141,305153,308919,313861",1/27/2023 8:03:12 AM,1828620
6961,0672    0864,191,Vacant-True,19280,51 N ST NE WASHINGTON DC 20002-3347,51 N RESIDENTIAL LLC,16796740,0,16796740,16796740,0,16796740,16796740,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,16796740,16796740,,,1/27/2023 8:03:12 AM,16796740
6962,5865    0260,091,Vacant-True,21426,1268 EATON RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,583220,382020,965240,583220,0,583220,583220,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,583220,583220,,,1/27/2023 8:03:12 AM,583220
6963,1037    0805,093,Vacant-Zoning Limits,55,INDEPENDENCE AVE SE WASHINGTON DC 20003,"FERRELL, LOUIS",1400,0,1400,1400,0,1400,1400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1400,1400,,,1/27/2023 8:03:12 AM,1400
6964,4308    0041,191,Vacant-True,8303,RHODE ISLAND AVE NE WASHINGTON DC 20018,UNITED STATES OF AMERICA,307380,0,307380,307380,0,307380,307380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,307380,307380,,,1/27/2023 8:03:12 AM,307380
6965,0560    0849,191,Vacant-True,13760,901 3RD ST NW WASHINGTON DC 20001,811 THIRD STREET TRUSTEE LLC,4226800,0,4226800,4226800,0,4226800,4226800,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,4/13/2021 12:00:00 AM,4/13/2021 12:00:00 AM,4226800,4226800,,,1/27/2023 8:03:12 AM,4226800
6966,4327    1163,092,Vacant-With Permit,167766,COMMODORE JOSHUA BARNEY DR NE WASHINGTON DC 20018,DISTRICT OF COLUMBIA,4227700,0,4227700,4227700,0,4227700,4227700,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,10/11/2011 12:00:00 AM,10/11/2011 12:00:00 AM,4227700,4227700,,,1/27/2023 8:03:12 AM,4227700
6967,5921    0938,093,Vacant-Zoning Limits,14988,BARNABY TER SE WASHINGTON DC 20032,TERRACES HOMEOWNERS ASSOCIATES,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1000,1000,,,1/27/2023 8:03:12 AM,1000
6968,2362    0023,191,Vacant-True,5979,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,372550,0,372550,372550,0,372550,372550,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,372550,372550,,,1/27/2023 8:03:12 AM,372550
6969,3963    0809,096,Vacant-Unimproved Parking,2000,LAWRENCE ST NE WASHINGTON DC 20017,"WENDEL, HENRY H",120000,8480,128480,120000,8480,128480,120000,8480,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1186668,9/26/2016 12:00:00 AM,9/26/2016 12:00:00 AM,128480,128480,"WENDEL, KATHLEEN E",,1/27/2023 8:03:12 AM,128480
6970,5865    0262,091,Vacant-True,29679,1240 EATON RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,808160,766710,1574870,808160,0,808160,808160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,808160,808160,,,1/27/2023 8:03:12 AM,808160
6971,5254    0813,191,Vacant-True,12891,338 58TH ST NE WASHINGTON DC 20019,DIX STREET ASSOCIATES LLC,510100,0,510100,510100,0,510100,510100,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,400000,5/14/2008 12:00:00 AM,5/14/2008 12:00:00 AM,510100,510100,,,1/27/2023 8:03:12 AM,510100
6972,5094    0038,091,Vacant-True,3000,HUNT ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,44160,0,44160,44160,0,44160,44160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,44160,44160,,,1/27/2023 8:03:12 AM,44160
6973,PAR 01460056,091,Vacant-True,15888,18TH ST NE WASHINGTON DC 20017,HOWARD UNIVERSITY  (LAND ONLY),54970,0,54970,54970,0,54970,54970,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,54970,54970,,,1/27/2023 8:03:12 AM,54970
6974,3712    0138,091,Vacant-True,4200,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,31880,0,31880,36710,0,36710,32970,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,32970,36710,,,1/27/2023 8:03:12 AM,32970
6975,5860    1055,092,Vacant-With Permit,836,2455 SHANNON PL SE WASHINGTON DC 20020-5819,HOWARD ROAD COMMUNITY PARTNERS LLC,0,0,0,58100,0,58100,0,0,YES,,NO HOMESTEAD,Mixed Use,0,,0,0,,,0,58100,,337226,1/27/2023 8:03:12 AM,0
6976,3316    0802,091,Vacant-True,728,UPSHUR ST NW WASHINGTON DC 20011,UNITED STATES OF AMERICA,1820,0,1820,1820,0,1820,1820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1820,1820,,,1/27/2023 8:03:12 AM,1820
6977,2060    0822,191,Vacant-True,265,RODMAN ST NW WASHINGTON DC 20008,UNITED STATES OF AMERICA,9620,0,9620,9620,0,9620,9620,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,9620,9620,,,1/27/2023 8:03:12 AM,9620
6978,1863    0825,091,Vacant-True,12104,3637 PATTERSON ST NW WASHINGTON DC 20015,MOST REV DONALD W WUERL ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,644900,0,644900,713050,0,713050,648170,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,3225000,8/23/2006 12:00:00 AM,8/23/2006 12:00:00 AM,648170,713050,,,1/27/2023 8:03:12 AM,648170
6979,1026    0824,191,Vacant-True,40,14TH ST NE WASHINGTON DC 20002,"RUDNEY, BESSIE",9680,0,9680,9680,0,9680,9680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,9680,9680,,,1/27/2023 8:03:12 AM,9680
6980,0575    0071,191,Vacant-True,3098,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,1391650,0,1391650,1391650,0,1391650,1391650,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1391650,1391650,,,1/27/2023 8:03:12 AM,1391650
6981,4252    0005,191,Vacant-True,5000,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,104150,0,104150,104150,0,104150,104150,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,104150,104150,,,1/27/2023 8:03:12 AM,104150
6982,2969    0013,093,Vacant-Zoning Limits,3800,BUTTERNUT ST NW WASHINGTON DC 20012,"THOMAS, EDITH P",56350,0,56350,56350,0,56350,56350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/27/2006 12:00:00 AM,3/27/2006 12:00:00 AM,56350,56350,,,1/27/2023 8:03:12 AM,56350
6983,5937    0822,191,Vacant-True,410,12TH ST SE WASHINGTON DC 20032,H&H CONSTRUCTION COMPANY INC,16230,0,16230,16230,0,16230,16230,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,16230,16230,,,1/27/2023 8:03:12 AM,16230
6984,5255    0018,093,Vacant-Zoning Limits,2111,58TH ST NE WASHINGTON DC 20019,"KING, JOHN E",8720,0,8720,8720,0,8720,8720,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,8720,8720,,,1/27/2023 8:03:12 AM,8720
6985,5056    0851,093,Vacant-Zoning Limits,4080,PARKSIDE PL NE WASHINGTON DC 00000,DISTRICT TOWNS HOMEOWNERS ASSOCIATION INC,10,0,10,10,0,10,10,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,369480,12/31/2019 12:00:00 AM,12/31/2019 12:00:00 AM,10,10,,,1/27/2023 8:03:12 AM,10
6986,5740    0035,191,Vacant-True,14522,AINGER PL SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,574640,0,574640,574640,0,574640,574640,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,574640,574640,,,1/27/2023 8:03:12 AM,574640
6987,PAR 02520019,191,Vacant-True,31363,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,162770,0,162770,162770,0,162770,162770,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,162770,162770,,,1/27/2023 8:03:12 AM,162770
6988,4210    0028,093,Vacant-Zoning Limits,4988,1921 HAMLIN ST NE WASHINGTON DC 20018-2425,"BROWN, CARL F",71030,0,71030,71030,0,71030,71030,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,71030,71030,"BROWN, SHIRLEY",,1/27/2023 8:03:12 AM,71030
6989,1209    0873,193,Vacant-Zoning Limits,872,M ST NW WASHINGTON DC 20007,SAMUEL M LEVY TRUSTEES,99100,0,99100,99100,0,99100,99100,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,99100,99100,,,1/27/2023 8:03:12 AM,99100
6990,5087    0830,091,Vacant-True,3933,BENNING RD NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,20810,0,20810,20810,0,20810,20810,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,20810,20810,,,1/27/2023 8:03:12 AM,20810
6991,2982    0129,093,Vacant-Zoning Limits,450,NW WASHINGTON DC 00000,SHIRLEY EDUCATION INITIATIVE LLC,3820,0,3820,3820,0,3820,3820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,150000,10/18/2006 12:00:00 AM,10/18/2006 12:00:00 AM,3820,3820,,,1/27/2023 8:03:12 AM,3820
6992,0446    0803,191,Vacant-True,36001,O ST NW WASHINGTON DC 20001,DISTRICT OF COLUMBIA,7361840,0,7361840,7361840,0,7361840,7361840,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,7361840,7361840,,,1/27/2023 8:03:12 AM,7361840
6993,5040    0084,093,Vacant-Zoning Limits,8809,ANACOSTIA AVE NE WASHINGTON DC 20019,DISTRICT OF COLUMBIA HOUSING AUTHORITY,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1000,1000,,,1/27/2023 8:03:12 AM,1000
6994,PAR 01240029,091,Vacant-True,6525,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,85670,0,85670,85670,0,85670,85670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,85670,85670,,,1/27/2023 8:03:12 AM,85670
6995,5514    0800,191,Vacant-True,7683,MASSACHUSETTS AVE SE WASHINGTON DC 20019,DISTRICT OF COLUMBIA,304020,0,304020,304020,0,304020,304020,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,304020,304020,,,1/27/2023 8:03:12 AM,304020
6996,0807    0802,091,Vacant-True,7056,901 4TH ST NE WASHINGTON DC 20002,"FORMANT, KELLY A",1195290,0,1195290,1195290,0,1195290,1195290,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/17/2018 12:00:00 AM,12/17/2018 12:00:00 AM,1195290,1195290,"FORMANT, JOHN C",289046,1/27/2023 8:03:12 AM,1195290
6997,1370    0816,191,Vacant-True,16468,4707 RESERVOIR RD NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,824880,0,824880,824880,0,824880,824880,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,824880,824880,,,1/27/2023 8:03:12 AM,824880
6998,2084    0857,091,Vacant-True,1538,MACOMB ST NW WASHINGTON DC 20008,TREGARON CONSERVANCY,21780,0,21780,21780,0,21780,21780,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,21780,21780,,,1/27/2023 8:03:12 AM,21780
6999,PAR 00690006,191,Vacant-True,113256,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,2823470,0,2823470,2823470,0,2823470,2823470,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2823470,2823470,,,1/27/2023 8:03:12 AM,2823470
7000,5876    0839,191,Vacant-True,39854,SHERIDAN RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,1577020,0,1577020,1577020,0,1577020,1577020,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1577020,1577020,,,1/27/2023 8:03:12 AM,1577020
7001,5467    0014,191,Vacant-True,1813,BAYLEY PL SE WASHINGTON DC 20019,UNITED STATES OF AMERICA,118280,0,118280,118280,0,118280,118280,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,118280,118280,,,1/27/2023 8:03:12 AM,118280
7002,0313    0818,191,Vacant-True,1601,12TH ST NW WASHINGTON DC 20005,POTOMAC ELECTRIC POWER COMPANY,410380,0,410380,410380,0,410380,410380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,410380,410380,,,1/27/2023 8:03:12 AM,410380
7003,PAR 02310016,195,Vacant-Commercial Use,23541,FIRTH STERLING AVE SE WASHINGTON DC 20020,B & O RAILROAD COMPANY,40260,0,40260,40260,0,40260,40260,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,40260,40260,,,1/27/2023 8:03:12 AM,40260
7004,5094    0016,191,Vacant-True,3000,HAYES ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,118710,0,118710,118710,0,118710,118710,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,118710,118710,,,1/27/2023 8:03:12 AM,118710
7005,1442    0847,093,Vacant-Zoning Limits,1372,SHERIER PL NW WASHINGTON DC 20016,DISTRICT OF COLUMBIA,29880,0,29880,29880,0,29880,29880,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,29880,29880,,,1/27/2023 8:03:12 AM,29880
7006,5684    0067,093,Vacant-Zoning Limits,4138,CAMDEN ST SE WASHINGTON DC 20020,"BROWN, CHARLOTTE A",53500,0,53500,53500,0,53500,53500,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,380000,7/7/2016 12:00:00 AM,7/7/2016 12:00:00 AM,53500,53500,,,1/27/2023 8:03:12 AM,53500
7007,1080E   0803,195,Vacant-Commercial Use,276293,1900 M ST SE WASHINGTON DC 20003-2501,DISTRICT OF COLUMBIA,16715730,0,16715730,16715730,0,16715730,16715730,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,16715730,16715730,,"296788,301485,309167,312968",1/27/2023 8:03:12 AM,16715730
7008,5465    0009,091,Vacant-True,2648,3120 G ST SE WASHINGTON DC 20019-2228,"KARRAS, MARIA",36520,0,36520,36520,0,36520,36520,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,36520,36520,"KARRAS, STEVE",,1/27/2023 8:03:12 AM,36520
7009,PAR 01650030,093,Vacant-Zoning Limits,546,HAMLIN ST NE WASHINGTON DC 20018,"REUTTER, HEIDI C",6070,0,6070,6070,0,6070,6070,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,640000,4/1/2021 12:00:00 AM,4/1/2021 12:00:00 AM,6070,6070,"KING, RYAN A",,1/27/2023 8:03:12 AM,6070
7010,PAR 02010188,091,Vacant-True,45355,SE WASHINGTON DC 00000,CAPITOL SKYLINE HOLDINGS,51700,0,51700,51700,0,51700,51700,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,15550,10/30/2015 12:00:00 AM,10/30/2015 12:00:00 AM,51700,51700,,,1/27/2023 8:03:12 AM,51700
7011,1412    0825,193,Vacant-Zoning Limits,2275,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,41190,0,41190,41190,0,41190,41190,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,41190,41190,,,1/27/2023 8:03:12 AM,41190
7012,1125    0037,191,Vacant-True,1649,C ST NE WASHINGTON DC 20002,UNITED STATES OF AMERICA,223470,0,223470,223470,0,223470,223470,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,223470,223470,,,1/27/2023 8:03:12 AM,223470
7013,4045    0004,091,Vacant-True,3000,CAPITOL AVE NE WASHINGTON DC 20002,"GULBAN, FARHAD",11970,0,11970,11970,0,11970,11970,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,25000,10/9/2003 12:00:00 AM,10/9/2003 12:00:00 AM,11970,11970,,,1/27/2023 8:03:12 AM,11970
7014,2661    0859,096,Vacant-Unimproved Parking,2000,CHAPIN ST NW WASHINGTON DC 20009,ONE HUNDRED THREE INC,164560,0,164560,164560,0,164560,164560,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/21/2011 12:00:00 AM,7/21/2011 12:00:00 AM,164560,164560,,,1/27/2023 8:03:12 AM,164560
7015,5803    0983,091,Vacant-True,3352,1323 MAPLE VIEW PL SE WASHINGTON DC 20020-5709,CHUGHTAI  FAMILY PROPERTIES,150740,0,150740,156440,0,156440,153020,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,153020,156440,,319286,1/27/2023 8:03:12 AM,153020
7016,1239    0869,093,Vacant-Zoning Limits,78,27TH ST NW WASHINGTON DC 20007,"BECHARA, ALEXANDRA V",15660,0,15660,15660,0,15660,15660,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1275000,7/30/2014 12:00:00 AM,7/30/2014 12:00:00 AM,15660,15660,"BECHARA, DENNIS",,1/27/2023 8:03:12 AM,15660
7017,5295    0041,091,Vacant-True,2000,5405 D ST SE WASHINGTON DC 20019-6134,H2 DEVELOPMENT LLC,0,0,0,133560,0,133560,0,0,YES,,NO HOMESTEAD,Mixed Use,0,,0,0,,,0,133560,,336841,1/27/2023 8:03:12 AM,0
7018,3128    0879,093,Vacant-Zoning Limits,3904,2501 1ST ST NW WASHINGTON DC 20001-2391,MCMILLAN ASSOCIATES LLC,0,0,0,283940,0,283940,0,0,YES,,NO HOMESTEAD,Mixed Use,0,,0,3376549,9/29/2022 12:00:00 AM,9/29/2022 12:00:00 AM,0,283940,,,1/27/2023 8:03:12 AM,0
7019,0473    0998,191,Vacant-True,317,317 MAINE AVE SW WASHINGTON DC 00000,WHARF PHASE 3 CONDO OWNERS LLC,58899,0,58899,58899,0,58899,58899,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,58899,58899,DISTRICT OF COLUMBIA,,1/27/2023 8:03:12 AM,58899
7020,2290    0803,191,Vacant-True,194774,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,23567650,0,23567650,23567650,0,23567650,23567650,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,23567650,23567650,,,1/27/2023 8:03:12 AM,23567650
7021,3128    0903,091,Vacant-True,1064,2501 1ST ST NW WASHINGTON DC 20001-2391,MCMILLAN ASSOCIATES LLC,0,0,0,77390,0,77390,0,0,YES,,NO HOMESTEAD,Mixed Use,0,,0,3376549,9/29/2022 12:00:00 AM,9/29/2022 12:00:00 AM,0,77390,,,1/27/2023 8:03:12 AM,0
7022,4037    0822,193,Vacant-Zoning Limits,31798,HECHT AVE NE WASHINGTON DC 00000,JEMAL'S HECHT'S LLC,31798,0,31798,31798,0,31798,31798,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,31798,31798,,,1/27/2023 8:03:12 AM,31798
7023,5105    0800,093,Vacant-Zoning Limits,1052,PINE ST NE WASHINGTON DC 20019,FABCO INVESTMENT CORPORATION,2610,0,2610,2610,0,2610,2610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2610,2610,,,1/27/2023 8:03:12 AM,2610
